顾客编号,大类编码,中类编码,小类编码,销售日期,商品编码,规格型号,商品类型,销售数量,销售金额,商品单价,是否促销
0,12,1201,120109,2015-01-01,DW-1201090311, ,生鲜,8.0,4.0,2.0,否
1,20,2014,201401,2015-01-01,DW-2014010019,60g,一般商品,6.0,3.0,0.5,否
2,15,1505,150502,2015-01-01,DW-1505020011,150g,一般商品,1.0,2.4,2.4,否
3,15,1503,150305,2015-01-01,DW-1503050035,500g,一般商品,1.0,6.5,8.3,否
4,15,1505,150502,2015-01-01,DW-1505020020,100g*8,一般商品,1.0,11.9,11.9,否
5,30,3018,301802,2015-01-01,DW-3018020109,10片,一般商品,1.0,8.9,8.9,否
6,12,1201,120104,2015-01-01,DW-1201040022,散称,生鲜,0.9640000000000001,8.07,5.6,否
7,20,2001,200101,2015-01-01,DW-2001010062,120g,一般商品,1.0,2.5,3.0,否
8,13,1308,130803,2015-01-01,DW-1308030035,个,生鲜,2.0,2.0,1.0,否
9,22,2203,220302,2015-01-01,DW-2203020029,45g,一般商品,1.0,4.0,4.0,否
10,22,2201,220111,2015-01-01,DW-2201110227,60g,一般商品,1.0,6.5,6.7,否
11,12,1201,120104,2015-01-01,DW-1201040016,散称,生鲜,0.784,1.25,1.6,否
11,12,1201,120104,2015-01-01,DW-1201040035,散称,生鲜,0.401,3.85,9.6,否
12,15,1521,152101,2015-01-01,DW-1521010005,散称,一般商品,0.7440000000000001,5.04,6.78,否
13,13,1301,130101,2015-01-01,DW-1301010076,散称,联营商品,0.282,5.64,20.0,否
14,20,2011,201111,2015-01-01,DW-2011110019,500mL,一般商品,1.0,5.5,5.5,否
15,10,1004,100404,2015-01-01,DW-1004040019,散称,生鲜,0.64,12.54,19.6,否
16,31,3119,311902,2015-01-01,DW-3119020077,202,一般商品,1.0,3.0,3.0,否
7,34,3412,341206,2015-01-01,DW-3412060037,150*120,一般商品,1.0,79.0,90.0,是
17,22,2201,220110,2015-01-01,DW-2201100015,散称,一般商品,0.198,2.7,19.8,是
17,22,2206,220607,2015-01-01,DW-2206070072,散称,一般商品,0.228,13.45,59.0,否
18,20,2013,201302,2015-01-01,DW-2013020105,280g,一般商品,1.0,7.9,7.9,否
19,15,1518,151805,2015-01-01,DW-1518050007,240ml,一般商品,16.0,33.9,2.7,是
19,20,2011,201102,2015-01-01,DW-2011020021,500ml,一般商品,1.0,7.9,7.9,否
19,30,3008,300801,2015-01-01,DW-3008010289,200ml,一般商品,1.0,9.5,9.5,否
2,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,0.708,1.83,2.58,否
