商品类型,第几周,销售金额
12g*8,4,1.0
12g*8,11,1.0
一般商品,1,8479.859999999962
一般商品,2,18471.40999999992
一般商品,3,18138.50999999996
一般商品,4,20053.019999999993
一般商品,5,20668.300000000032
一般商品,6,29878.96000000036
一般商品,7,31950.54000000037
一般商品,8,39924.980000000694
一般商品,9,13791.829999999927
一般商品,10,14180.179999999902
一般商品,11,14697.76999999988
一般商品,12,14963.959999999879
一般商品,13,15944.039999999875
一般商品,14,14855.64999999987
一般商品,15,14779.729999999876
一般商品,16,15741.209999999875
一般商品,17,19606.900000000016
一般商品,18,10389.489999999936
生鲜,1,2791.540000000002
生鲜,2,6564.649999999993
生鲜,3,6117.910000000005
生鲜,4,9688.99999999999
生鲜,5,8165.070000000003
生鲜,6,5220.370000000002
生鲜,7,7371.129999999998
生鲜,8,5682.710000000001
生鲜,9,4074.4400000000037
生鲜,10,5662.659999999994
生鲜,11,7342.940000000008
生鲜,12,7061.449999999991
生鲜,13,6075.720000000002
生鲜,14,6083.8799999999965
生鲜,15,6040.060000000004
生鲜,16,6379.139999999998
生鲜,17,7449.92
生鲜,18,4036.109999999999
联营商品,1,307.3299999999999
联营商品,2,497.58
联营商品,3,319.76
联营商品,4,327.29
联营商品,5,281.16
联营商品,6,312.88000000000005
联营商品,7,384.75000000000006
联营商品,8,587.0
联营商品,9,286.74
联营商品,10,317.88000000000005
联营商品,11,153.81
联营商品,12,201.26000000000002
联营商品,13,348.61000000000007
联营商品,14,457.16999999999996
联营商品,15,302.3499999999999
联营商品,16,290.61999999999995
联营商品,17,383.12000000000006
联营商品,18,114.5
