顾客编号,销售金额,销售日期
0,24.65,2015-01-012015-01-012015-01-012015-01-012015-04-25
1,42.599999999999994,2015-01-012015-01-012015-01-012015-01-012015-02-152015-02-152015-02-15
2,78.7,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-282015-01-282015-01-282015-02-082015-02-082015-02-082015-02-082015-02-082015-02-082015-02-082015-02-082015-02-082015-02-08
3,546.5099999999999,2015-01-012015-01-012015-01-012015-01-022015-01-022015-01-022015-01-022015-01-072015-01-072015-02-102015-02-102015-02-102015-02-102015-02-102015-02-102015-02-102015-02-122015-02-122015-02-122015-02-122015-02-182015-02-182015-02-242015-02-242015-02-242015-02-242015-03-122015-03-162015-03-162015-03-172015-03-172015-03-222015-03-272015-03-272015-03-272015-03-282015-03-282015-03-292015-03-292015-03-292015-03-292015-03-292015-04-102015-04-112015-04-112015-04-112015-04-112015-04-172015-04-172015-04-172015-04-242015-04-24
4,182.84000000000003,2015-01-012015-01-012015-01-012015-01-012015-04-012015-04-012015-04-012015-04-012015-04-012015-04-132015-04-132015-04-132015-04-132015-04-132015-04-132015-04-132015-04-132015-04-13
5,139.44,2015-01-012015-01-012015-01-012015-01-012015-01-122015-01-122015-01-122015-03-262015-03-262015-03-262015-03-262015-04-012015-04-012015-04-012015-04-04
6,150.3,2015-01-012015-01-012015-01-012015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-03-302015-04-012015-04-012015-04-012015-04-012015-04-052015-04-292015-04-292015-04-292015-04-29
7,251.93,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-042015-03-262015-03-262015-03-262015-03-262015-03-262015-03-262015-03-262015-03-262015-04-132015-04-132015-04-132015-04-292015-04-292015-04-292015-04-292015-04-292015-04-292015-04-292015-04-29
8,377.05999999999995,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-042015-01-212015-01-212015-01-212015-01-212015-01-282015-01-282015-03-162015-03-162015-03-162015-03-162015-03-182015-03-242015-03-242015-03-242015-03-292015-03-292015-03-292015-04-152015-04-152015-04-152015-04-152015-04-15
9,80.4,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-13
10,337.66,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-03-052015-03-052015-03-052015-03-052015-03-052015-03-052015-03-052015-03-112015-03-112015-03-112015-03-11
11,50.300000000000004,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-01
12,1838.1900000000005,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-022015-01-022015-01-022015-01-022015-01-022015-01-032015-01-032015-01-042015-01-042015-01-042015-01-042015-01-052015-01-052015-01-052015-01-052015-01-052015-01-062015-01-062015-01-062015-01-062015-01-062015-01-062015-01-062015-01-072015-01-072015-01-072015-01-072015-01-072015-01-082015-01-082015-01-082015-01-082015-01-082015-01-082015-01-092015-01-092015-01-102015-01-102015-01-112015-01-112015-01-112015-01-112015-01-122015-01-122015-01-122015-01-122015-01-122015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-222015-01-222015-01-222015-01-222015-01-222015-01-222015-01-222015-01-262015-01-262015-01-262015-01-262015-01-262015-01-282015-01-292015-01-292015-01-292015-01-292015-02-162015-02-172015-02-172015-02-172015-02-172015-02-172015-02-172015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-03-022015-03-022015-03-032015-03-032015-03-032015-03-042015-03-042015-03-042015-03-052015-03-052015-03-052015-03-052015-03-062015-03-062015-03-062015-03-092015-03-092015-03-092015-03-092015-03-112015-03-132015-03-132015-03-142015-03-142015-03-142015-03-142015-03-152015-03-152015-03-152015-03-162015-03-162015-03-162015-03-162015-03-162015-03-172015-03-172015-03-212015-03-212015-03-212015-03-232015-03-252015-03-252015-03-252015-03-252015-03-272015-03-272015-03-272015-04-022015-04-022015-04-022015-04-022015-04-022015-04-022015-04-022015-04-022015-04-032015-04-032015-04-052015-04-052015-04-052015-04-052015-04-052015-04-062015-04-082015-04-282015-04-282015-04-282015-04-292015-04-292015-04-292015-04-302015-04-30
13,642.8599999999999,2015-01-012015-01-062015-01-062015-01-062015-01-062015-01-062015-01-062015-01-112015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-02-282015-03-082015-03-102015-03-102015-03-242015-03-242015-03-242015-03-242015-03-242015-03-242015-03-242015-03-242015-03-242015-03-242015-03-272015-03-272015-03-272015-03-272015-03-282015-04-022015-04-022015-04-022015-04-022015-04-022015-04-022015-04-022015-04-072015-04-072015-04-072015-04-072015-04-072015-04-072015-04-112015-04-122015-04-122015-04-122015-04-122015-04-122015-04-192015-04-192015-04-192015-04-192015-04-232015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-262015-04-26
14,298.21999999999997,2015-01-012015-01-012015-01-012015-01-012015-01-112015-01-112015-01-112015-01-112015-01-152015-01-162015-01-162015-01-162015-01-162015-01-212015-01-302015-01-30
15,313.87999999999994,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-172015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-25
16,386.09000000000003,2015-01-012015-01-012015-01-012015-01-072015-01-072015-01-072015-01-112015-01-112015-01-112015-01-312015-01-312015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-18
17,597.4399999999995,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-032015-01-032015-01-032015-01-032015-01-032015-01-032015-01-032015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-092015-01-092015-01-092015-01-092015-01-092015-01-112015-01-112015-01-112015-01-112015-01-112015-01-112015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-02-102015-02-102015-02-102015-02-102015-02-102015-02-102015-02-102015-02-102015-02-102015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-212015-02-222015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-162015-03-162015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-292015-04-292015-04-292015-04-29
18,32.44,2015-01-012015-01-012015-01-012015-01-01
19,265.96000000000004,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-172015-01-172015-01-172015-01-172015-01-172015-01-172015-01-172015-01-172015-01-192015-01-192015-01-192015-04-302015-04-302015-04-302015-04-302015-04-302015-04-30
20,395.59000000000003,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-062015-01-062015-01-062015-01-062015-01-062015-01-062015-01-062015-01-122015-01-122015-01-122015-01-122015-01-122015-01-212015-01-212015-01-212015-01-212015-01-212015-02-092015-02-092015-02-092015-02-092015-02-092015-02-152015-02-152015-02-152015-02-152015-02-152015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-272015-02-272015-02-272015-02-272015-03-132015-03-132015-03-192015-03-192015-04-152015-04-152015-04-152015-04-172015-04-172015-04-172015-04-172015-04-222015-04-222015-04-222015-04-242015-04-242015-04-24
21,247.4,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-182015-01-182015-01-182015-01-182015-01-182015-02-132015-02-132015-02-132015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-04-262015-04-262015-04-262015-04-262015-04-26
22,93.78999999999999,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-01
23,16.2,2015-01-012015-01-01
24,853.81,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-032015-01-042015-01-052015-01-052015-01-052015-01-092015-01-092015-01-092015-01-092015-01-092015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-152015-01-152015-01-152015-01-162015-01-162015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-242015-01-242015-01-302015-01-302015-02-022015-02-022015-02-022015-02-022015-02-062015-02-062015-02-062015-02-062015-02-062015-02-132015-02-132015-02-132015-02-162015-02-162015-02-252015-02-252015-02-252015-02-252015-02-252015-02-252015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-272015-02-272015-02-272015-02-272015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-042015-03-042015-03-042015-03-042015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-082015-03-082015-03-082015-03-082015-03-082015-03-122015-03-122015-03-122015-03-122015-03-122015-03-122015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-172015-03-192015-03-192015-03-192015-03-202015-03-202015-03-212015-03-212015-03-222015-03-222015-03-222015-03-222015-03-222015-03-222015-03-262015-03-262015-03-262015-03-262015-03-262015-03-262015-03-262015-03-302015-03-302015-03-302015-03-302015-04-102015-04-102015-04-102015-04-102015-04-122015-04-122015-04-122015-04-132015-04-132015-04-132015-04-132015-04-152015-04-152015-04-152015-04-152015-04-152015-04-182015-04-182015-04-182015-04-182015-04-242015-04-24
25,38.51,2015-01-012015-01-01
26,244.09000000000003,2015-01-012015-01-012015-01-012015-01-072015-01-072015-01-072015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-02-122015-02-122015-02-22
27,81.59,2015-01-012015-01-012015-01-012015-01-022015-01-022015-01-022015-01-02
28,13.9,2015-01-012015-01-01
29,20.5,2015-01-012015-01-012015-01-01
30,53.02,2015-01-012015-01-012015-01-01
31,603.8699999999999,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-122015-01-122015-01-122015-01-122015-01-122015-01-122015-01-122015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-132015-02-132015-02-132015-02-132015-02-132015-03-032015-03-032015-03-032015-03-032015-03-032015-03-032015-03-032015-03-032015-03-032015-03-032015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-072015-04-072015-04-072015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-25
32,1177.1599999999992,2015-01-012015-01-012015-01-012015-01-012015-01-132015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-172015-01-172015-01-172015-01-172015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-242015-01-242015-01-242015-01-262015-01-262015-01-262015-01-262015-01-262015-01-262015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-282015-01-282015-01-282015-01-282015-01-282015-01-282015-01-282015-01-282015-02-012015-02-012015-02-012015-02-012015-02-012015-02-012015-02-012015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-132015-02-132015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-02-272015-02-272015-02-272015-02-272015-02-272015-02-272015-02-272015-02-272015-03-012015-03-012015-03-012015-03-012015-03-012015-03-012015-03-012015-03-012015-03-012015-03-092015-03-092015-03-092015-03-092015-03-092015-03-092015-03-092015-03-092015-03-092015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-072015-04-072015-04-072015-04-072015-04-072015-04-072015-04-072015-04-072015-04-072015-04-072015-04-112015-04-112015-04-112015-04-112015-04-112015-04-112015-04-112015-04-112015-04-12
33,219.7,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-01
34,958.6099999999991,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-022015-01-022015-01-022015-01-122015-01-122015-01-182015-01-182015-01-182015-01-182015-01-192015-01-192015-01-192015-01-192015-01-202015-01-202015-01-212015-01-212015-01-212015-01-242015-01-242015-01-242015-02-022015-02-022015-02-022015-02-022015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-082015-02-082015-02-082015-02-082015-02-082015-02-082015-02-152015-02-152015-02-152015-02-152015-02-182015-02-182015-02-182015-02-182015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-02-212015-02-272015-03-022015-03-032015-03-052015-03-052015-03-052015-03-172015-03-172015-03-172015-03-172015-03-172015-03-182015-03-182015-03-182015-03-202015-03-212015-03-212015-03-212015-03-212015-03-212015-03-212015-03-242015-03-242015-03-242015-03-252015-03-252015-03-252015-03-262015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-04-102015-04-102015-04-102015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-172015-04-172015-04-172015-04-182015-04-192015-04-192015-04-192015-04-192015-04-19
35,80.92,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-01
36,186.82,2015-01-012015-01-012015-01-012015-01-012015-04-192015-04-192015-04-192015-04-192015-04-192015-04-192015-04-192015-04-192015-04-19
37,408.26,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-122015-01-122015-01-122015-01-302015-01-302015-01-302015-01-302015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-02-012015-02-012015-02-012015-02-012015-02-012015-02-122015-02-122015-02-122015-02-122015-02-122015-02-122015-02-172015-02-172015-02-172015-02-172015-02-172015-02-172015-02-172015-02-172015-02-172015-02-172015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-02-222015-04-012015-04-012015-04-012015-04-01
38,474.8199999999998,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-082015-01-082015-01-082015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-02-122015-02-122015-02-122015-02-122015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-172015-02-172015-02-182015-04-112015-04-112015-04-112015-04-112015-04-112015-04-112015-04-112015-04-112015-04-232015-04-232015-04-232015-04-232015-04-232015-04-23
39,500.42999999999984,2015-01-012015-01-012015-01-012015-01-012015-01-072015-01-072015-01-092015-01-092015-01-092015-01-092015-01-092015-01-092015-01-102015-01-102015-01-142015-01-142015-01-142015-01-142015-01-142015-01-252015-01-252015-01-252015-01-252015-01-252015-01-292015-01-292015-01-292015-01-292015-01-292015-02-062015-02-062015-02-072015-02-152015-02-152015-02-222015-02-242015-02-242015-02-282015-02-282015-03-032015-03-032015-03-032015-03-042015-03-042015-03-062015-03-062015-03-062015-03-082015-03-082015-03-082015-03-082015-03-082015-03-112015-03-142015-03-142015-03-162015-03-162015-03-162015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-272015-03-272015-03-282015-03-282015-04-012015-04-012015-04-132015-04-192015-04-192015-04-212015-04-212015-04-212015-04-212015-04-212015-04-212015-04-21
40,336.49999999999994,2015-01-012015-01-282015-01-282015-01-282015-01-282015-01-282015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-18
41,78.56,2015-01-012015-01-012015-01-012015-01-012015-01-052015-01-052015-01-052015-01-052015-01-052015-02-17
42,124.46000000000001,2015-01-012015-01-012015-01-012015-01-012015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-03
43,217.83000000000004,2015-01-012015-01-012015-01-012015-01-012015-01-012015-02-092015-02-092015-02-212015-02-212015-02-212015-02-212015-02-212015-04-052015-04-052015-04-062015-04-102015-04-10
44,190.4,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-012015-01-062015-01-062015-01-062015-01-062015-01-062015-01-062015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-25
45,12.5,2015-01-012015-01-012015-01-012015-01-012015-01-01
46,251.68000000000006,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-132015-01-132015-01-132015-01-132015-02-252015-02-252015-02-252015-02-252015-03-042015-03-042015-03-042015-03-042015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-04-212015-04-212015-04-212015-04-212015-04-212015-04-212015-04-222015-04-222015-04-222015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-272015-04-272015-04-27
47,1332.2600000000004,2015-01-012015-01-012015-01-012015-01-012015-01-012015-01-042015-01-042015-01-042015-01-042015-01-042015-01-052015-01-052015-01-052015-01-052015-01-052015-01-052015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-082015-01-082015-01-082015-01-092015-01-092015-01-092015-01-112015-01-112015-01-112015-01-112015-01-112015-01-112015-01-122015-01-122015-01-122015-01-132015-01-132015-01-132015-01-132015-01-132015-01-132015-01-142015-01-142015-01-142015-01-142015-01-142015-01-152015-01-152015-01-152015-01-152015-01-172015-01-172015-01-172015-01-172015-01-172015-01-212015-01-222015-01-222015-01-222015-01-222015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-242015-01-272015-01-272015-01-272015-01-272015-01-282015-01-282015-01-292015-01-292015-01-302015-01-302015-01-302015-01-302015-02-022015-02-052015-02-052015-02-052015-02-052015-02-052015-02-052015-03-062015-03-062015-03-062015-03-062015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-092015-03-092015-03-092015-03-092015-03-092015-03-092015-03-092015-03-112015-03-112015-03-132015-03-132015-03-132015-03-132015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-202015-03-202015-03-202015-03-212015-03-212015-03-212015-03-212015-03-212015-03-242015-03-242015-03-242015-03-252015-03-252015-03-252015-03-252015-03-262015-03-262015-03-262015-03-262015-03-282015-03-282015-03-282015-03-282015-03-282015-03-282015-03-302015-03-302015-04-012015-04-032015-04-032015-04-032015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-152015-04-152015-04-152015-04-152015-04-152015-04-172015-04-172015-04-172015-04-202015-04-202015-04-242015-04-242015-04-242015-04-262015-04-262015-04-262015-04-262015-04-262015-04-262015-04-282015-04-282015-04-282015-04-302015-04-30
48,21.179999999999996,2015-01-012015-01-012015-01-012015-03-142015-03-142015-03-142015-03-142015-03-14
49,606.0899999999999,2015-01-012015-01-012015-01-012015-01-012015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-252015-01-252015-01-252015-01-252015-01-252015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-03-022015-03-022015-03-022015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-04-012015-04-012015-04-012015-04-012015-04-012015-04-012015-04-012015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-06
50,93.9,2015-01-012015-01-012015-01-012015-01-012015-02-182015-02-182015-04-042015-04-042015-04-04
