0,从头燃到尾！各种爽！各种给力！唐尼大眼睛各种吐槽！浩克裸一把还卖萌，你是天神我照摔！锤哥一边和抖森搞基一边雷！抖森那个演技啊啧啧太赞了！杰瑞米鹰眼帅气神射！性感女神斯嘉丽高超骗术还有漂亮身手！美国队长的屁股和胸配合3D效果要爆表！边看边高潮，湿了好几次！今年上映大片里第一部佳作！,LORENZO 洛伦佐,"['allstar50', 'rating']",2012-04-27 02:34:25,2166,"Amsterdam, Netherlands",vividtime  2006-03-28加入
1,被严重高估的粉丝电影。最后30分钟拯救全片，但为了这个高潮付出的代价太大了，前90分钟冗长乏味，为分配几个人的戏份进行对手戏排列组合，莫名其妙的恩怨设置如劣质武侠片，主线信息本来就少得可怜，还反复交代，完全失败的节奏和结构，应砍掉30分钟,麻绳,"['allstar30', 'rating']",2012-05-05 23:19:02,658,北京,ma-sheng  2008-03-26加入
2,Hulk...Smash！！！,陀螺凡达可,"['allstar50', 'rating']",2012-04-26 05:05:39,1319,"Paris, France",cabaret  2010-09-07加入
3,这些漫威怪物集中起来本以为是一锅粥，结果分工超明确人物极鲜明，加上目不暇接的狂轰滥炸和适当的吐槽卖萌，这些人物甚至比之前看单独影片时更惹人喜爱。唯一遗憾的是，反派外星人仍然没有脱离害虫形象的传统，飞船还长得像皮皮虾,jj73浅之,"['allstar40', 'rating']",2012-04-23 16:43:26,2086,北京,asano  2006-09-26加入
4,不用动脑的电影就是好～PS我是真心喜欢洛基呀！！！！,同志亦凡人中文站,"['allstar30', 'rating']",2012-05-07 18:07:14,87,,
5,真没想到《复仇者联盟》这么好看啊！钢铁侠大战美国队长，绿巨人狂K雷神索尔，黑寡妇勾搭鹰眼…老实说这几个超级英雄掐起架来比团结一致好看多了！钢铁侠负责耍宝，大兵负责耍帅;黑寡妇卖弄风情，绿巨人卖萌，再加一个坏坏有人爱的大反派，梦幻组合，灰常完美！,兰若,"['allstar50', 'rating']",2012-04-23 16:24:14,974,北京,4315946  2009-06-02加入
6,撸妇联前：诶嘿嘿好激动哟终于可以看妇联了！撸妇联时：嘤抖森嘤JR嘤嘤大胸美队嘤嘤大胸锤哥嘤嘤糖泥嘤菲尔好萌哦新绿巨人也好萌的样纸呢啊啊啊啊啊啊我是绿巨人脑残粉哈哈哈哈！撸完妇联：啊啊啊啊啊啊啊啊啊啊这绝逼是我看过最带感最鸡血的电影没有之一啊亲没有之一啊啊啊啊啊！太！好！看！了！！！,办公室甜心,"['allstar50', 'rating']",2012-05-05 03:12:24,490,"Berlin, Germany",kirk1226  2010-02-04加入
7,欢乐养眼！唐尼吐槽大美！loki美貌不能直视！与他哥的基情不能直视！上影院看这种片绝对值回票价！虽然剧情简单。。。但看得过瘾！总得来说一个字：燃！,山人阿苍苍,"['allstar40', 'rating']",2012-04-23 16:35:48,843,"Bristol, United Kingdom",Kiddieyi  2008-12-28加入
8,一部几乎完美的爆米花电影，谁在乎它演的是什么，因为它的幽默感太强大了！性格分明的人物，魅力十足的明星，层出不穷的笑料，紧张刺激的节奏，震撼视听的特效和层次分明的剧情编排，每一个超级英雄都有自己的性格和故事，他们都忙着互损互斗还一起欺负软妹，为什么这群演员都这么有爱呢？★★★★,亵渎电影,"['allstar40', 'rating']",2012-05-05 03:12:25,761,北京,zhangzongqian  2009-04-14加入
9,这！已！经！是！纽！约！不！知！道！第！几！次！被！外！星！人！轰！炸！了！好！想！住！在！这！个！随！时！都！有！可！能！被！炸！死！的！破！地！方！,夏奈,"['allstar40', 'rating']",2012-05-07 20:51:55,533,"İstanbul, Turkey",ChannaDisco  2009-10-15加入
10,还蛮好笑的- -,Veligrano,"['allstar40', 'rating']",2012-09-04 17:16:10,2,浙江杭州,Te_Qu1ero  2010-09-30加入
11,IMAX3D打斗效果从头爽到尾.队长负责健美操.雷神负责耍大锤.寡妇负责勾搭.鹰眼负责耍酷.绿巨人天然呆卖萌.钢铁侠抖骚耍宝.PS：片尾有彩蛋.,皮皮敦敦,"['allstar50', 'rating']",2012-05-05 12:27:03,391,北京,y_baozi  2009-02-14加入
