,comments,username,starts,times,hasuses,citys,intodoubantimes,leval
0,"['燃到', '尾', '爽', '给力', '唐尼大', '眼睛', '吐槽', '浩克裸', '一把', '卖萌', '天神', '我照', '摔', '锤哥', '抖森', '抖森', '演技', '啧啧', '太赞', '杰瑞米', '鹰眼', '帅气', '神射', '性感', '女神', '斯嘉丽', '高超', '骗术', '漂亮', '身手', '美国', '队长', '屁股', '配合', '3d', '效果', '爆表', '看边', '高潮', '湿', '几次', '上映', '大片', '第一部', '佳作']",LORENZO 洛伦佐,50,2012-04-27 02:34:25,2166,amsterdam,2006-03-28,好评
1,"['高估', '粉丝', '电影', '分钟', '拯救', '全片', '高潮', '付出', '代价', '太大', '90', '分钟', '冗长', '乏味', '分配', '几个', '戏份', '对手戏', '排列组合', '莫名其妙', '恩怨', '设置', '劣质', '武侠片', '主线', '信息', '本来', '可怜', '反复', '交代', '失败', '节奏', '结构', '砍掉', '分钟']",麻绳,30,2012-05-05 23:19:02,658,北京,2008-03-26,一般
2,,陀螺凡达可,50,2012-04-26 05:05:39,1319,paris,2010-09-07,好评
3,"['漫威', '怪物', '一锅粥', '分工', '超', '人物', '鲜明', '目不暇接', '狂轰滥炸', '吐', '槽', '卖萌', '人物', '单独', '影片', '惹', '喜爱', '唯一', '遗憾', '反派', '外星人', '脱离', '害虫', '形象', '传统', '飞船', '还长', '皮皮虾']",jj73浅之,40,2012-04-23 16:43:26,2086,北京,2006-09-26,好评
4,"['不用', '动脑', '电影', 'ps', '真心', '喜欢', '洛基']",同志亦凡人中文站,30,2012-05-07 18:07:14,87,,,一般
5,"['真没想到', '复仇者', '联盟', '好看', '钢铁', '侠', '大战', '美国', '队长', '绿巨人', '狂', '雷神', '索尔', '黑寡妇', '勾搭', '鹰眼', '几个', '超级', '英雄', '掐', '起架', '团结一致', '好看', '钢铁', '侠', '负责', '耍宝', '大兵', '负责', '耍帅', '黑寡妇', '卖弄风情', '绿巨人', '卖萌', '坏坏', '有人', '爱', '反派', '梦幻组合', '灰常', '完美']",兰若,50,2012-04-23 16:24:14,974,北京,2009-06-02,好评
6,"['撸', '妇联', '诶', '激动', '终于', '妇联', '撸', '妇联', '嘤', '抖森', '嘤', 'jr', '嘤', '嘤', '胸美队', '嘤', '嘤', '胸锤哥', '嘤', '嘤', '糖', '泥', '嘤', '菲尔', '好萌', '绿巨人', '萌', '样纸', '啊啊啊', '啊啊啊', '绿巨人', '脑残粉', '哈哈哈哈', '撸', '妇联', '啊啊啊', '啊啊啊', '啊啊啊', '这绝', '逼', '看过', '最带', '鸡血', '电影', '啊啊啊', '太']",办公室甜心,50,2012-05-05 03:12:24,490,berlin,2010-02-04,好评
7,"['欢乐', '养眼', '唐尼吐槽', '大美', 'loki', '美貌', '直视', '哥', '基情', '直视', '影院', '绝对值', '回', '票价', '剧情', '简单', '过瘾', '总得来说', '字', '燃']",山人阿苍苍,40,2012-04-23 16:35:48,843,bristol,2008-12-28,好评
8,"['一部', '完美', '爆米花', '电影', '在乎', '它演', '幽默感', '太强大', '性格', '分明', '人物', '魅力十足', '明星', '层出不穷', '笑料', '紧张', '刺激', '节奏', '震撼', '视听', '特效', '层次分明', '剧情', '编排', '超级', '英雄', '性格', '故事', '忙', '互损', '互斗', '欺负', '软妹', '这群', '演员', '爱', '★', '★', '★', '★']",亵渎电影,40,2012-05-05 03:12:25,761,北京,2009-04-14,好评
9,"['纽', '星', '炸', '想', '住', '炸', '破']",夏奈,40,2012-05-07 20:51:55,533,i̇stanbul,2009-10-15,好评
10,,Veligrano,40,2012-09-04 17:16:10,2,浙江杭州,2010-09-30,好评
11,"['imax3d', '打斗', '效果', '爽到', '尾', '队长', '负责', '健美操', '雷神', '负责', '耍', '大锤', '寡妇', '负责', '勾搭', '鹰眼', '负责', '耍酷', '绿巨人', '天然', '卖萌', '钢铁', '侠抖', '骚', '耍宝', 'ps', '片尾', '彩蛋']",皮皮敦敦,50,2012-05-05 12:27:03,391,北京,2009-02-14,好评
12,"['这是', '葫芦兄弟', '钢铁', '侠', '斯塔克', '雷神', '索尔', '美国', '队长', '绿巨人', '班纳', '黑寡妇', '鹰眼', '巴顿', '爷爷', '指挥官', '独眼', '侠弗瑞', '带领', '团结一致', '联合', '葫芦', '小金刚', '各显神通', '对付', '蛇', '洛基', '故事']",影志,40,2012-05-05 22:58:00,61,北京,2005-07-18,好评
13,"['loki', '真心', '美貌', 'robin', '阿姨', '酱油', '感觉', 'thor', '那句', 'is', 'adopted', '狂', '戳', 'hhp', '唐尼', '幽默', '无感', '想起', '三集', '片里', '那句', 'every', 'fairytale', 'needs', 'good', 'old', 'fashioned', 'villain', 'loki', '这群', '英雄', '天天', '百无聊赖', '哥', '铁链', '牵走', '好乖', '为啥', '嘴巴', '堵', '唠']",wwwwwhat,50,2012-04-26 04:37:28,342,,,好评
14,,流泪猫猫桃,50,2012-05-06 20:10:05,329,浙江杭州,2008-11-16,好评
